"PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","Titles","last_name","iTitles","Family_size","logFare","cabin_l","ticket_t"
21,"0",2,"Fynney, Mr. Joseph J",1,35,0,0,"239865",26,"",3,"Mr","Fynney",4,0,3.25809653802148,"",9
22,"1",2,"Beesley, Mr. Lawrence",1,34,0,0,"248698",13,"D56",3,"Mr","Beesley",4,0,2.56494935746154,"D",9
23,"1",3,"McGowan, Miss. Anna ""Annie""",0,15,0,0,"330923",8.0292,"",2,"Miss","McGowan",3,0,2.08308489659463,"",9
24,"1",1,"Sloper, Mr. William Thompson",1,28,0,0,"113788",35.5,"A6",3,"Mr","Sloper",4,0,3.56953269648137,"A",9
25,"0",3,"Palsson, Miss. Torborg Danira",0,8,3,1,"349909",21.075,"",3,"Miss","Palsson",3,4,3.04808750388792,"",9
26,"1",3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0,38,1,5,"347077",31.3875,"",3,"Mrs","Asplund",5,4,3.4464097244837,"",9
27,"0",3,"Emir, Mr. Farred Chehab",1,29,0,0,"2631",7.225,"",1,"Mr","Emir",4,0,1.9775472339985,"",9
28,"0",1,"Fortune, Mr. Charles Alexander",1,19,3,2,"19950",263,"C23 C25 C27",3,"Mr","Fortune",4,4,5.57215403217776,"C",9
29,"1",3,"O'Dwyer, Miss. Ellen ""Nellie""",0,22,0,0,"330959",7.8792,"",2,"Miss","O'Dwyer",3,0,2.06422637587336,"",9
30,"0",3,"Todoroff, Mr. Lalio",1,29,0,0,"349216",7.8958,"",3,"Mr","Todoroff",4,0,2.06633097252974,"",9
31,"0",1,"Uruchurtu, Don. Manuel E",1,40,0,0,"PC 17601",27.7208,"",1,"Others","Uruchurtu",7,0,3.32218303393412,"",11
32,"1",1,"Spencer, Mrs. William Augustus (Marie Eugenie)",0,36.5,1,0,"PC 17569",146.5208,"B78",1,"Mrs","Spencer",5,1,4.98716739790117,"B",11
33,"1",3,"Glynn, Miss. Mary Agatha",0,22,0,0,"335677",7.75,"",2,"Miss","Glynn",3,0,2.04769284336526,"",9
34,"0",2,"Wheadon, Mr. Edward H",1,66,0,0,"C.A. 24579",10.5,"",3,"Mr","Wheadon",4,0,2.35137525716348,"",4
35,"0",1,"Meyer, Mr. Edgar Joseph",1,28,1,0,"PC 17604",82.1708,"",1,"Mr","Meyer",4,1,4.40880000780905,"",11
36,"0",1,"Holverson, Mr. Alexander Oskar",1,42,1,0,"113789",52,"",3,"Mr","Holverson",4,1,3.95124371858143,"",9
37,"1",3,"Mamee, Mr. Hanna",1,29,0,0,"2677",7.2292,"",1,"Mr","Mamee",4,0,1.97812837997935,"",9
38,"0",3,"Cann, Mr. Ernest Charles",1,21,0,0,"A./5. 2152",8.05,"",3,"Mr","Cann",4,0,2.08567209143047,"",1
39,"0",3,"Vander Planke, Miss. Augusta Maria",0,18,2,0,"345764",18,"",3,"Miss","Vander Planke",3,2,2.89037175789616,"",9
40,"1",3,"Nicola-Yarred, Miss. Jamila",0,14,1,0,"2651",11.2417,"",1,"Miss","Nicola-Yarred",3,1,2.41963007858069,"",9
41,"0",3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,40,1,0,"7546",9.475,"",3,"Mrs","Ahlin",5,1,2.24865675096849,"",9
42,"0",2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,27,1,0,"11668",21,"",3,"Mrs","Turpin",5,1,3.04452243772342,"",9
43,"0",3,"Kraeff, Mr. Theodor",1,29,0,0,"349253",7.8958,"",1,"Mr","Kraeff",4,0,2.06633097252974,"",9
44,"1",2,"Laroche, Miss. Simonne Marie Anne Andree",0,3,1,2,"SC/Paris 2123",41.5792,"",1,"Miss","Laroche",3,3,3.72760004222554,"",12
45,"1",3,"Devaney, Miss. Margaret Delia",0,19,0,0,"330958",7.8792,"",2,"Miss","Devaney",3,0,2.06422637587336,"",9
46,"0",3,"Rogers, Mr. William John",1,29,0,0,"S.C./A.4. 23567",8.05,"",3,"Mr","Rogers",4,0,2.08567209143047,"",12
47,"0",3,"Lennon, Mr. Denis",1,31,1,0,"370371",15.5,"",2,"Mr","Lennon",4,1,2.7408400239252,"",9
48,"1",3,"O'Driscoll, Miss. Bridget",0,22,0,0,"14311",7.75,"",2,"Miss","O'Driscoll",3,0,2.04769284336526,"",9
49,"0",3,"Samaan, Mr. Youssef",1,31,2,0,"2662",21.6792,"",1,"Mr","Samaan",4,2,3.07635327552161,"",9
50,"0",3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,18,1,0,"349237",17.8,"",3,"Mrs","Arnold-Franchi",5,1,2.87919845729804,"",9
51,"0",3,"Panula, Master. Juha Niilo",1,7,4,1,"3101295",39.6875,"",3,"Master","Panula",1,4,3.68103627665291,"",9
52,"0",3,"Nosworthy, Mr. Richard Cater",1,21,0,0,"A/4. 39886",7.8,"",3,"Mr","Nosworthy",4,0,2.05412373369555,"",1
53,"1",1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",0,49,1,0,"PC 17572",76.7292,"D33",1,"Mrs","Harper",5,1,4.34028233996554,"D",11
54,"1",2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0,29,1,0,"2926",26,"",3,"Mrs","Faunthorpe",5,1,3.25809653802148,"",9
55,"0",1,"Ostby, Mr. Engelhart Cornelius",1,65,0,1,"113509",61.9792,"B30",1,"Mr","Ostby",4,1,4.12679884488682,"B",9
56,"1",1,"Woolner, Mr. Hugh",1,29,0,0,"19947",35.5,"C52",3,"Mr","Woolner",4,0,3.56953269648137,"C",9
57,"1",2,"Rugg, Miss. Emily",0,21,0,0,"C.A. 31026",10.5,"",3,"Miss","Rugg",3,0,2.35137525716348,"",4
58,"0",3,"Novel, Mr. Mansouer",1,28.5,0,0,"2697",7.2292,"",1,"Mr","Novel",4,0,1.97812837997935,"",9
59,"1",2,"West, Miss. Constance Mirium",0,5,1,2,"C.A. 34651",27.75,"",3,"Miss","West",3,3,3.32323584019244,"",4
60,"0",3,"Goodwin, Master. William Frederick",1,11,5,2,"CA 2144",46.9,"",3,"Master","Goodwin",1,4,3.84801767545223,"",4
61,"0",3,"Sirayanian, Mr. Orsen",1,22,0,0,"2669",7.2292,"",1,"Mr","Sirayanian",4,0,1.97812837997935,"",9
62,"1",1,"Icard, Miss. Amelie",0,38,0,0,"113572",80,"B28",3,"Miss","Icard",3,0,4.38202663467388,"B",9
63,"0",1,"Harris, Mr. Henry Birkhardt",1,45,1,0,"36973",83.475,"C83",3,"Mr","Harris",4,1,4.42454718582972,"C",9
64,"0",3,"Skoog, Master. Harald",1,4,3,2,"347088",27.9,"",3,"Master","Skoog",1,4,3.32862668882732,"",9
65,"0",1,"Stewart, Mr. Albert A",1,29,0,0,"PC 17605",27.7208,"",1,"Mr","Stewart",4,0,3.32218303393412,"",11
66,"1",3,"Moubarek, Master. Gerios",1,4,1,1,"2661",15.2458,"",1,"Master","Moubarek",1,2,2.7243040552851,"",9
67,"1",2,"Nye, Mrs. (Elizabeth Ramell)",0,29,0,0,"C.A. 29395",10.5,"F33",3,"Mrs","Nye",5,0,2.35137525716348,"F",4
68,"0",3,"Crease, Mr. Ernest James",1,19,0,0,"S.P. 3464",8.1583,"",3,"Mr","Crease",4,0,2.09903581393828,"",18
69,"1",3,"Andersson, Miss. Erna Alexandra",0,17,4,2,"3101281",7.925,"",3,"Miss","Andersson",3,4,2.07002231976334,"",9
70,"0",3,"Kink, Mr. Vincenz",1,26,2,0,"315151",8.6625,"",3,"Mr","Kink",4,2,2.15900336451602,"",9
71,"0",2,"Jenkin, Mr. Stephen Curnow",1,32,0,0,"C.A. 33111",10.5,"",3,"Mr","Jenkin",4,0,2.35137525716348,"",4
72,"0",3,"Goodwin, Miss. Lillian Amy",0,16,5,2,"CA 2144",46.9,"",3,"Miss","Goodwin",3,4,3.84801767545223,"",4
73,"0",2,"Hood, Mr. Ambrose Jr",1,21,0,0,"S.O.C. 14879",73.5,"",3,"Mr","Hood",4,0,4.29728540621879,"",15
74,"0",3,"Chronopoulos, Mr. Apostolos",1,26,1,0,"2680",14.4542,"",1,"Mr","Chronopoulos",4,1,2.6709850297652,"",9
75,"1",3,"Bing, Mr. Lee",1,32,0,0,"1601",56.4958,"",3,"Mr","Bing",4,0,4.03416629910613,"",9
76,"0",3,"Moen, Mr. Sigurd Hansen",1,25,0,0,"348123",7.65,"F G73",3,"Mr","Moen",4,0,2.03470564783844,"F",9
77,"0",3,"Staneff, Mr. Ivan",1,29,0,0,"349208",7.8958,"",3,"Mr","Staneff",4,0,2.06633097252974,"",9
78,"0",3,"Moutal, Mr. Rahamin Haim",1,29,0,0,"374746",8.05,"",3,"Mr","Moutal",4,0,2.08567209143047,"",9
79,"1",2,"Caldwell, Master. Alden Gates",1,0.83,0,2,"248738",29,"",3,"Master","Caldwell",1,2,3.36729582998647,"",9
80,"1",3,"Dowdell, Miss. Elizabeth",0,30,0,0,"364516",12.475,"",3,"Miss","Dowdell",3,0,2.52372664163758,"",9
81,"0",3,"Waelens, Mr. Achille",1,22,0,0,"345767",9,"",3,"Mr","Waelens",4,0,2.19722457733622,"",9
82,"1",3,"Sheerlinck, Mr. Jan Baptist",1,29,0,0,"345779",9.5,"",3,"Mr","Sheerlinck",4,0,2.2512917986065,"",9
83,"1",3,"McDermott, Miss. Brigdet Delia",0,22,0,0,"330932",7.7875,"",2,"Miss","McDermott",3,0,2.05251988411357,"",9
84,"0",1,"Carrau, Mr. Francisco M",1,28,0,0,"113059",47.1,"",3,"Mr","Carrau",4,0,3.85227300102237,"",9
85,"1",2,"Ilett, Miss. Bertha",0,17,0,0,"SO/C 14885",10.5,"",3,"Miss","Ilett",3,0,2.35137525716348,"",14
86,"1",3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0,33,3,0,"3101278",15.85,"",3,"Mrs","Backstrom",5,3,2.76316950032329,"",9
87,"0",3,"Ford, Mr. William Neal",1,16,1,3,"W./C. 6608",34.375,"",3,"Mr","Ford",4,4,3.53732955598674,"",21
88,"0",3,"Slocovski, Mr. Selman Francis",1,29,0,0,"SOTON/OQ 392086",8.05,"",3,"Mr","Slocovski",4,0,2.08567209143047,"",17
89,"1",1,"Fortune, Miss. Mabel Helen",0,23,3,2,"19950",263,"C23 C25 C27",3,"Miss","Fortune",3,4,5.57215403217776,"C",9
90,"0",3,"Celotti, Mr. Francesco",1,24,0,0,"343275",8.05,"",3,"Mr","Celotti",4,0,2.08567209143047,"",9
91,"0",3,"Christmann, Mr. Emil",1,29,0,0,"343276",8.05,"",3,"Mr","Christmann",4,0,2.08567209143047,"",9
92,"0",3,"Andreasson, Mr. Paul Edvin",1,20,0,0,"347466",7.8542,"",3,"Mr","Andreasson",4,0,2.06104842056294,"",9
93,"0",1,"Chaffee, Mr. Herbert Fuller",1,46,1,0,"W.E.P. 5734",61.175,"E31",3,"Mr","Chaffee",4,1,4.11373860932874,"E",23
94,"0",3,"Dean, Mr. Bertram Frank",1,26,1,2,"C.A. 2315",20.575,"",3,"Mr","Dean",4,3,3.02407674656313,"",4
95,"0",3,"Coxon, Mr. Daniel",1,59,0,0,"364500",7.25,"",3,"Mr","Coxon",4,0,1.98100146886658,"",9
96,"0",3,"Shorney, Mr. Charles Joseph",1,29,0,0,"374910",8.05,"",3,"Mr","Shorney",4,0,2.08567209143047,"",9
97,"0",1,"Goldschmidt, Mr. George B",1,71,0,0,"PC 17754",34.6542,"A5",1,"Mr","Goldschmidt",4,0,3.54541893041153,"A",11
98,"1",1,"Greenfield, Mr. William Bertram",1,23,0,1,"PC 17759",63.3583,"D10 D12",1,"Mr","Greenfield",4,1,4.14880591633814,"D",11
99,"1",2,"Doling, Mrs. John T (Ada Julia Bone)",0,34,0,1,"231919",23,"",3,"Mrs","Doling",5,1,3.13549421592915,"",9
100,"0",2,"Kantor, Mr. Sinai",1,34,1,0,"244367",26,"",3,"Mr","Kantor",4,1,3.25809653802148,"",9
101,"0",3,"Petranec, Miss. Matilda",0,28,0,0,"349245",7.8958,"",3,"Miss","Petranec",3,0,2.06633097252974,"",9
102,"0",3,"Petroff, Mr. Pastcho (""Pentcho"")",1,29,0,0,"349215",7.8958,"",3,"Mr","Petroff",4,0,2.06633097252974,"",9
103,"0",1,"White, Mr. Richard Frasar",1,21,0,1,"35281",77.2875,"D26",3,"Mr","White",4,1,4.34753223488469,"D",9
104,"0",3,"Johansson, Mr. Gustaf Joel",1,33,0,0,"7540",8.6542,"",3,"Mr","Johansson",4,0,2.1580447522359,"",9
105,"0",3,"Gustafsson, Mr. Anders Vilhelm",1,37,2,0,"3101276",7.925,"",3,"Mr","Gustafsson",4,2,2.07002231976334,"",9
106,"0",3,"Mionoff, Mr. Stoytcho",1,28,0,0,"349207",7.8958,"",3,"Mr","Mionoff",4,0,2.06633097252974,"",9
107,"1",3,"Salkjelsvik, Miss. Anna Kristine",0,21,0,0,"343120",7.65,"",3,"Miss","Salkjelsvik",3,0,2.03470564783844,"",9
108,"1",3,"Moss, Mr. Albert Johan",1,29,0,0,"312991",7.775,"",3,"Mr","Moss",4,0,2.0509134580653,"",9
109,"0",3,"Rekic, Mr. Tido",1,38,0,0,"349249",7.8958,"",3,"Mr","Rekic",4,0,2.06633097252974,"",9
110,"1",3,"Moran, Miss. Bertha",0,21,1,0,"371110",24.15,"",2,"Miss","Moran",3,1,3.18428438009858,"",9
111,"0",1,"Porter, Mr. Walter Chamberlain",1,47,0,0,"110465",52,"C110",3,"Mr","Porter",4,0,3.95124371858143,"C",9
112,"0",3,"Zabour, Miss. Hileni",0,14.5,1,0,"2665",14.4542,"",1,"Miss","Zabour",3,1,2.6709850297652,"",9
113,"0",3,"Barton, Mr. David John",1,22,0,0,"324669",8.05,"",3,"Mr","Barton",4,0,2.08567209143047,"",9
114,"0",3,"Jussila, Miss. Katriina",0,20,1,0,"4136",9.825,"",3,"Miss","Jussila",3,1,2.28493015775532,"",9
115,"0",3,"Attalah, Miss. Malake",0,17,0,0,"2627",14.4583,"",1,"Miss","Attalah",3,0,2.67126864412075,"",9
116,"0",3,"Pekoniemi, Mr. Edvard",1,21,0,0,"STON/O 2. 3101294",7.925,"",3,"Mr","Pekoniemi",4,0,2.07002231976334,"",19
117,"0",3,"Connors, Mr. Patrick",1,70.5,0,0,"370369",7.75,"",2,"Mr","Connors",4,0,2.04769284336526,"",9
118,"0",2,"Turpin, Mr. William John Robert",1,29,1,0,"11668",21,"",3,"Mr","Turpin",4,1,3.04452243772342,"",9
119,"0",1,"Baxter, Mr. Quigg Edmond",1,24,0,1,"PC 17558",247.5208,"B58 B60",1,"Mr","Baxter",4,1,5.51149461888159,"B",11
120,"0",3,"Andersson, Miss. Ellis Anna Maria",0,2,4,2,"347082",31.275,"",3,"Miss","Andersson",3,4,3.44281905635297,"",9
121,"0",2,"Hickman, Mr. Stanley George",1,21,2,0,"S.O.C. 14879",73.5,"",3,"Mr","Hickman",4,2,4.29728540621879,"",15
122,"0",3,"Moore, Mr. Leonard Charles",1,29,0,0,"A4. 54510",8.05,"",3,"Mr","Moore",4,0,2.08567209143047,"",1
123,"0",2,"Nasser, Mr. Nicholas",1,32.5,1,0,"237736",30.0708,"",1,"Mr","Nasser",4,1,3.40355460123583,"",9
124,"1",2,"Webber, Miss. Susan",0,32.5,0,0,"27267",13,"E101",3,"Miss","Webber",3,0,2.56494935746154,"E",9
125,"0",1,"White, Mr. Percival Wayland",1,54,0,1,"35281",77.2875,"D26",3,"Mr","White",4,1,4.34753223488469,"D",9
126,"1",3,"Nicola-Yarred, Master. Elias",1,12,1,0,"2651",11.2417,"",1,"Master","Nicola-Yarred",1,1,2.41963007858069,"",9
127,"0",3,"McMahon, Mr. Martin",1,29,0,0,"370372",7.75,"",2,"Mr","McMahon",4,0,2.04769284336526,"",9
128,"1",3,"Madsen, Mr. Fridtjof Arne",1,24,0,0,"C 17369",7.1417,"",3,"Mr","Madsen",4,0,1.96595084324942,"",3
129,"1",3,"Peter, Miss. Anna",0,9.5,1,1,"2668",22.3583,"F E69",1,"Miss","Peter",3,2,3.10719761677404,"F",9
130,"0",3,"Ekstrom, Mr. Johan",1,45,0,0,"347061",6.975,"",3,"Mr","Ekstrom",4,0,1.94233232770743,"",9
131,"0",3,"Drazenoic, Mr. Jozef",1,33,0,0,"349241",7.8958,"",1,"Mr","Drazenoic",4,0,2.06633097252974,"",9
132,"0",3,"Coelho, Mr. Domingos Fernandeo",1,20,0,0,"SOTON/O.Q. 3101307",7.05,"",3,"Mr","Coelho",4,0,1.95302761682418,"",17
133,"0",3,"Robins, Mrs. Alexander A (Grace Charity Laury)",0,47,1,0,"A/5. 3337",14.5,"",3,"Mrs","Robins",5,1,2.67414864942653,"",1
134,"1",2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",0,29,1,0,"228414",26,"",3,"Mrs","Weisz",5,1,3.25809653802148,"",9
135,"0",2,"Sobey, Mr. Samuel James Hayden",1,25,0,0,"C.A. 29178",13,"",3,"Mr","Sobey",4,0,2.56494935746154,"",4
136,"0",2,"Richard, Mr. Emile",1,23,0,0,"SC/PARIS 2133",15.0458,"",1,"Mr","Richard",4,0,2.71109888248023,"",12
137,"1",1,"Newsom, Miss. Helen Monypeny",0,19,0,2,"11752",26.2833,"D47",3,"Miss","Newsom",3,2,3.26893375650932,"D",9
138,"0",1,"Futrelle, Mr. Jacques Heath",1,37,1,0,"113803",53.1,"C123",3,"Mr","Futrelle",4,1,3.97217692824789,"C",9
139,"0",3,"Osen, Mr. Olaf Elon",1,16,0,0,"7534",9.2167,"",3,"Mr","Osen",4,0,2.22101705593022,"",9
140,"0",1,"Giglio, Mr. Victor",1,24,0,0,"PC 17593",79.2,"B86",1,"Mr","Giglio",4,0,4.37197629882038,"B",11
141,"0",3,"Boulos, Mrs. Joseph (Sultana)",0,32,0,2,"2678",15.2458,"",1,"Mrs","Boulos",5,2,2.7243040552851,"",9
142,"1",3,"Nysten, Miss. Anna Sofia",0,22,0,0,"347081",7.75,"",3,"Miss","Nysten",3,0,2.04769284336526,"",9
143,"1",3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",0,24,1,0,"STON/O2. 3101279",15.85,"",3,"Mrs","Hakkarainen",5,1,2.76316950032329,"",19
144,"0",3,"Burke, Mr. Jeremiah",1,19,0,0,"365222",6.75,"",2,"Mr","Burke",4,0,1.90954250488444,"",9
145,"0",2,"Andrew, Mr. Edgardo Samuel",1,18,0,0,"231945",11.5,"",3,"Mr","Andrew",4,0,2.4423470353692,"",9
146,"0",2,"Nicholls, Mr. Joseph Charles",1,19,1,1,"C.A. 33112",36.75,"",3,"Mr","Nicholls",4,2,3.60413822565885,"",4
147,"1",3,"Andersson, Mr. August Edvard (""Wennerstrom"")",1,27,0,0,"350043",7.7958,"",3,"Mr","Andersson",4,0,2.05358512713461,"",9
148,"0",3,"Ford, Miss. Robina Maggie ""Ruby""",0,9,2,2,"W./C. 6608",34.375,"",3,"Miss","Ford",3,4,3.53732955598674,"",21
149,"0",2,"Navratil, Mr. Michel (""Louis M Hoffman"")",1,36.5,0,2,"230080",26,"F2",3,"Mr","Navratil",4,2,3.25809653802148,"F",9
150,"0",2,"Byles, Rev. Thomas Roussel Davids",1,42,0,0,"244310",13,"",3,"Others","Byles",7,0,2.56494935746154,"",9
151,"0",2,"Bateman, Rev. Robert James",1,51,0,0,"S.O.P. 1166",12.525,"",3,"Others","Bateman",7,0,2.52772664697093,"",16
152,"1",1,"Pears, Mrs. Thomas (Edith Wearne)",0,22,1,0,"113776",66.6,"C2",3,"Mrs","Pears",5,1,4.19870457754634,"C",9
153,"0",3,"Meo, Mr. Alfonzo",1,55.5,0,0,"A.5. 11206",8.05,"",3,"Mr","Meo",4,0,2.08567209143047,"",1
154,"0",3,"van Billiard, Mr. Austin Blyler",1,40.5,0,2,"A/5. 851",14.5,"",3,"Mr","van Billiard",4,2,2.67414864942653,"",1
155,"0",3,"Olsen, Mr. Ole Martin",1,29,0,0,"Fa 265302",7.3125,"",3,"Mr","Olsen",4,0,1.98958521255797,"",5
156,"0",1,"Williams, Mr. Charles Duane",1,51,0,1,"PC 17597",61.3792,"",1,"Mr","Williams",4,1,4.11707101554523,"",11
157,"1",3,"Gilnagh, Miss. Katherine ""Katie""",0,16,0,0,"35851",7.7333,"",2,"Miss","Gilnagh",3,0,2.04553567965004,"",9
158,"0",3,"Corn, Mr. Harry",1,30,0,0,"SOTON/OQ 392090",8.05,"",3,"Mr","Corn",4,0,2.08567209143047,"",17
159,"0",3,"Smiljanic, Mr. Mile",1,29,0,0,"315037",8.6625,"",3,"Mr","Smiljanic",4,0,2.15900336451602,"",9
160,"0",3,"Sage, Master. Thomas Henry",1,7,8,2,"CA. 2343",69.55,"",3,"Master","Sage",1,4,4.24204591836945,"",4
161,"0",3,"Cribb, Mr. John Hatfield",1,44,0,1,"371362",16.1,"",3,"Mr","Cribb",4,1,2.77881927199042,"",9
162,"1",2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",0,40,0,0,"C.A. 33595",15.75,"",3,"Mrs","Watt",5,0,2.75684036527164,"",4
163,"0",3,"Bengtsson, Mr. John Viktor",1,26,0,0,"347068",7.775,"",3,"Mr","Bengtsson",4,0,2.0509134580653,"",9
164,"0",3,"Calic, Mr. Jovo",1,17,0,0,"315093",8.6625,"",3,"Mr","Calic",4,0,2.15900336451602,"",9
165,"0",3,"Panula, Master. Eino Viljami",1,1,4,1,"3101295",39.6875,"",3,"Master","Panula",1,4,3.68103627665291,"",9
166,"1",3,"Goldsmith, Master. Frank John William ""Frankie""",1,9,0,2,"363291",20.525,"",3,"Master","Goldsmith",1,2,3.02164365533849,"",9
167,"1",1,"Chibnall, Mrs. (Edith Martha Bowerman)",0,35,0,1,"113505",55,"E33",3,"Mrs","Chibnall",5,1,4.00733318523247,"E",9
168,"0",3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",0,45,1,4,"347088",27.9,"",3,"Mrs","Skoog",5,4,3.32862668882732,"",9
169,"0",1,"Baumann, Mr. John D",1,29,0,0,"PC 17318",25.925,"",3,"Mr","Baumann",4,0,3.25520775411559,"",11
170,"0",3,"Ling, Mr. Lee",1,28,0,0,"1601",56.4958,"",3,"Mr","Ling",4,0,4.03416629910613,"",9
171,"0",1,"Van der hoef, Mr. Wyckoff",1,61,0,0,"111240",33.5,"B19",3,"Mr","Van der hoef",4,0,3.51154543883102,"B",9
172,"0",3,"Rice, Master. Arthur",1,4,4,1,"382652",29.125,"",2,"Master","Rice",1,4,3.37159691188586,"",9
173,"1",3,"Johnson, Miss. Eleanor Ileen",0,1,1,1,"347742",11.1333,"",3,"Miss","Johnson",3,2,2.40994061729809,"",9
174,"0",3,"Sivola, Mr. Antti Wilhelm",1,21,0,0,"STON/O 2. 3101280",7.925,"",3,"Mr","Sivola",4,0,2.07002231976334,"",19
175,"0",1,"Smith, Mr. James Clinch",1,56,0,0,"17764",30.6958,"A7",1,"Mr","Smith",4,0,3.42412583741652,"A",9
176,"0",3,"Klasen, Mr. Klas Albin",1,18,1,1,"350404",7.8542,"",3,"Mr","Klasen",4,2,2.06104842056294,"",9
177,"0",3,"Lefebre, Master. Henry Forbes",1,7,3,1,"4133",25.4667,"",3,"Master","Lefebre",1,4,3.23737171640403,"",9
178,"0",1,"Isham, Miss. Ann Elizabeth",0,50,0,0,"PC 17595",28.7125,"C49",1,"Miss","Isham",3,0,3.35733256801522,"C",11
179,"0",2,"Hale, Mr. Reginald",1,30,0,0,"250653",13,"",3,"Mr","Hale",4,0,2.56494935746154,"",9
180,"0",3,"Leonard, Mr. Lionel",1,36,0,0,"LINE",0,"",3,"Mr","Leonard",4,0,0,"",7
181,"0",3,"Sage, Miss. Constance Gladys",0,18,8,2,"CA. 2343",69.55,"",3,"Miss","Sage",3,4,4.24204591836945,"",4
182,"0",2,"Pernot, Mr. Rene",1,29,0,0,"SC/PARIS 2131",15.05,"",1,"Mr","Pernot",4,0,2.71137799119488,"",12
183,"0",3,"Asplund, Master. Clarence Gustaf Hugo",1,9,4,2,"347077",31.3875,"",3,"Master","Asplund",1,4,3.4464097244837,"",9
184,"1",2,"Becker, Master. Richard F",1,1,2,1,"230136",39,"F4",3,"Master","Becker",1,3,3.66356164612965,"F",9
185,"1",3,"Kink-Heilmann, Miss. Luise Gretchen",0,4,0,2,"315153",22.025,"",3,"Miss","Kink-Heilmann",3,2,3.09217817182224,"",9
